# Month,Day,Year,AvgTemperature
7,13,2012,15
7,14,2012,15
7,15,2012,15
7,16,2012,15
7,17,2012,15
7,18,2012,14
7,19,2012,13
7,20,2012,13
7,21,2012,13
7,22,2012,15
7,23,2012,15
7,24,2012,14
7,25,2012,13
7,26,2012,13
7,27,2012,14
7,28,2012,14
7,29,2012,14
7,30,2012,15
7,31,2012,14
8,1,2012,14
8,2,2012,14
8,3,2012,15
8,4,2012,15
8,5,2012,15
8,6,2012,13
8,7,2012,14
8,8,2012,13
8,9,2012,13
8,10,2012,13
8,11,2012,13
8,12,2012,13
8,13,2012,13
8,14,2012,13
8,15,2012,14
8,16,2012,14
8,17,2012,14
8,18,2012,12
8,19,2012,12
8,20,2012,12
8,21,2012,12
8,22,2012,13
8,23,2012,13
8,24,2012,14
8,25,2012,14
8,26,2012,15
8,27,2012,14
8,28,2012,13
8,29,2012,12
8,30,2012,13
8,31,2012,14
9,1,2012,13
9,2,2012,12
9,3,2012,13
9,4,2012,14
9,5,2012,13
9,6,2012,14
9,7,2012,13
9,8,2012,13
9,9,2012,10
9,10,2012,11
9,11,2012,11
9,12,2012,13
9,13,2012,13
9,14,2012,12
9,15,2012,11
9,16,2012,9
9,17,2012,11
9,18,2012,11
9,19,2012,10
9,20,2012,10
9,21,2012,11
9,22,2012,11
9,23,2012,10
9,24,2012,9
9,25,2012,11
9,26,2012,11
9,27,2012,10
9,28,2012,9
9,29,2012,10
9,30,2012,10
10,1,2012,11
10,2,2012,10
10,3,2012,11
10,4,2012,12
10,5,2012,12
10,6,2012,10
10,7,2012,8
10,8,2012,8
10,9,2012,9
10,10,2012,9
10,11,2012,8
10,12,2012,8
10,13,2012,7
10,14,2012,8
10,15,2012,10
10,16,2012,8
10,17,2012,8
10,18,2012,10
10,19,2012,10
10,20,2012,10
10,21,2012,9
10,22,2012,9
10,23,2012,9
10,24,2012,8
10,25,2012,9
10,26,2012,10
10,27,2012,10
10,28,2012,8
10,29,2012,9
10,30,2012,12
10,31,2012,10
11,1,2012,8
11,2,2012,7
11,3,2012,7
11,4,2012,7
11,5,2012,6
11,6,2012,5
11,7,2012,5
11,8,2012,6
11,9,2012,6
11,10,2012,7
11,11,2012,7
11,12,2012,9
11,13,2012,8
11,14,2012,6
11,15,2012,5
11,16,2012,5
11,17,2012,6
11,18,2012,5
11,19,2012,5
11,20,2012,6
11,21,2012,6
11,22,2012,8
11,23,2012,9
11,24,2012,6
11,25,2012,4
11,26,2012,4
11,27,2012,4
11,28,2012,4
11,29,2012,5
11,30,2012,2
12,1,2012,2
12,2,2012,6
12,3,2012,7
12,4,2012,8
12,5,2012,7
12,6,2012,4
12,7,2012,6
12,8,2012,6
12,9,2012,5
12,10,2012,5
12,11,2012,3
12,12,2012,3
12,13,2012,6
12,14,2012,6
12,15,2012,3
12,16,2012,3
12,17,2012,5
12,18,2012,6
12,19,2012,6
12,20,2012,4
12,21,2012,6
12,22,2012,5
12,23,2012,3
12,24,2012,2
12,25,2012,3
12,26,2012,2
12,27,2012,5
12,28,2012,3
12,29,2012,2
12,30,2012,2
12,31,2012,3
